##BLOCKS= 7          
Note:
PROTOCOL REVISION HISTORY:
v1.0.0: original protocol created (MDC)
v1.0.1: 06/30/05 - Updated, spell checked, & formatted to new style guide. (DW)
v1.0.2: 10/02/05 - Updated Reader Suitability section for v5.0 release. (DW)

READER SUITABILITY:
VMax, VersaMax
SpectraMax, Plus, Plus 384
SpectraMax 190, 340PC, 340PC 384
SpectraMax Gemini, Gemini XS, Gemini EM, Gemini XPS
SpectraMax M2, SpectraMax M5
FlexStation, II, II 384
~End
Note:
Basic Kinetic Protocol

Unfamiliar with SoftMax Pro software?
If you are new to SoftMax Pro software, we strongly recommended spending time familiarizing yourself with the powerful features by completing at least one of the tutorials located in the Tutorials folder.

Use this protocol as the starting point for kinetic assays that have unknowns that will have concentrations interpolated from a standard curve.  Modify the instrument setup for your assay.  You may add more groups of unknowns, controls, or standards to the template to fit your assay.
~End
Plate:	Plate01	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	501	7500	15				1	407	1	12	96	364	Automatic	None			12	Automatic			1	1	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
24:00	22.30	2565.286	2557.928	2638.259	2738.266	2632.076	2501.282	2669.461	2811.868	2776.819	3288.019	3535.004	625.191																																																																																					
24:15	22.30	2564.766	2593.313	2639.191	2739.706	2642.529	2518.91	2675.592	2831.184	2793.433	3294.721	3545.549	630.636																																																																																					
24:30	22.30	2585.149	2603.014	2648.833	2740.414	2651.533	2520.139	2686.201	2838.265	2800.3	3312.294	3557.956	634.819																																																																																					
24:45	22.30	2585.349	2607.727	2658.876	2763.95	2662.053	2540.887	2701.17	2844.869	2788.733	3310.61	3549.767	635.765																																																																																					
25:00	22.30	2597.146	2621.325	2669.945	2778.839	2673.145	2542.239	2706.906	2839.963	2809.178	3302.701	3556.767	614.604																																																																																					
25:15	22.30	2605.037	2632.565	2682.341	2771.822	2673.462	2555.292	2706.652	2853.65	2821.07	3291.959	3541.156	612.514																																																																																					
25:30	22.30	2627.464	2639.671	2686.894	2787.753	2686.045	2573.535	2724.198	2852.177	2815.843	3316.03	3545.258	617.581																																																																																					
25:45	22.30	2629.65	2641.928	2688.556	2803.343	2687.273	2579.535	2739.114	2867.594	2833.506	3312.707	3547.531	621.813																																																																																					
26:00	22.30	2643.113	2655.041	2707.884	2809.014	2716.624	2591.467	2742.548	2873.364	2842.928	3324.684	3545.093	619.13																																																																																					
26:15	22.30	2647.46	2666.349	2713.981	2816.609	2715.269	2594.641	2757.81	2889.638	2861.467	3338.965	3549.31	639.019																																																																																					
26:30	22.30	2650.116	2683.097	2724.19	2809.491	2729.104	2603.794	2757.69	2896.3	2858.193	3322.347	3559.675	632.814																																																																																					
26:45	22.30	2659.646	2680.009	2725.873	2816.574	2740.408	2607.967	2769.041	2902.669	2861.914	3345.419	3547.478	624.819																																																																																					
27:00	22.30	2668.668	2681.979	2734.263	2835.435	2742.166	2622.081	2772.088	2914.354	2869.95	3332.155	3547.388	619.298																																																																																					
27:15	22.30	2672.938	2687.661	2734.363	2830.233	2746.919	2640.75	2776.739	2921.788	2878.361	3330.804	3545.197	623.554																																																																																					
27:30	22.30	2675.656	2706.741	2753.247	2854.899	2764.233	2645.284	2777.209	2929.5	2897.553	3340.848	3550.774	624.876																																																																																					
27:45	22.30	2678.235	2716.061	2759.432	2853.116	2762.901	2646.069	2788.056	2931.598	2908.18	3344.94	3543.773	614.573																																																																																					
